Ярославль г.;Авиаторов пр-кт., д. 149
Ярославль г.;Белинского ул., д. 26А
Ярославль г.;ул. Волгоградская ул., вблизи д. 39
Мурино п.;Привокзальная пл., торговый павильон
Мурманск г.;Баумана ул., д.  89
Мурманск г.;Коминтерна ул., на верх. площадке Привокзальной площади
Мурманск г.;Ленина пр-кт., д. 80
Новодвинск г.;Мира ул., д. 7
Архангельск г.;Беломорской флотилии ул., д. 8 стр. 2 в здании магазина литер А
Архангельск г.;Воскресенская ул., д. 11
Архангельск г.;Воскресенская ул., д. 95
Архангельск г.;Ленинградский пр-кт., д. 255
Архангельск г.;Тимме Я. ул., д. 4 корп. 3
Архангельск г.;Троицкий пр-кт., д. 20
Вологда г.;Благовещенская ул., д. 4
Вологда г.;Герцена ул., д. 70
Вологда г.;Мира ул., д. 10
Вологда г.;Мира ул., д. 9
Вологда г.;Северная ул., д. 7
Вологда г.;Текстильщиков ул., д. 16
Петергоф г.;Санкт-Петербургский пр-кт., д. 60
Пушкин г.;Привокзальная пл., д. 2 лит.А
Санкт-Петербург г.;Ленсовета ул., д. 86А
Санкт-Петербург г.;Лиговский пр-кт., д.10/118 литА  цоколь пом2Н №37,38 ч.п№1
Санкт-Петербург г.;Лиговский пр-кт., д. 43-45 лит. А
Санкт-Петербург г.;Лиговский пр-кт., д. 84/2
Санкт-Петербург г.;Литейный пр-кт., д. 24А
Санкт-Петербург г.;Московский пр-кт., д. 168А
Санкт-Петербург г.;Московский пр-кт., уч. 291 напротив д. 103
Санкт-Петербург г.;Мурманское ш., 12 км
Санкт-Петербург г.;Науки пр-кт., д. 19/2
Санкт-Петербург г.;Науки пр-кт., д. 21 корп. 1 лит. А
Санкт-Петербург г.;Новаторов б-р., д.75 корп2 литА части пом 1-Н в ч №№ 1-7
Санкт-Петербург г.;Новочеркасский пр-кт., д. 43/17 лит. А пом. 1
Санкт-Петербург г.;Обводного канала наб., д. 120
Санкт-Петербург г.;Обводного канала наб., уч. 1 севернее д. 38А по Воронежской ул.
Санкт-Петербург г.;Обуховской Обороны пр-кт., д. 114 врем торг пав у ст м Пролетарская
Санкт-Петербург г.;Одоевского ул., д. 29А
Санкт-Петербург г.;Ленина пл., уч. 5 ( у д. 8/8)
Санкт-Петербург г.;Политехническая ул., уч. 1 сев.-вост. Д. 28 литера А
Ярославль г.;Ленинградский просп. пр-кт., д. 49А
Ярославль г.;Октября пр-кт., д. 46
Ярославль г.;ул. Первомайская ул., д. 39/10
Ярославль г.;Республиканская ул., д. 75 корп. 2
Ярославль г.;Тутаевское шоссе ш., д. 1 пом. А-13
Новосибирск г.;Первомайская ул., д. 100
Новосибирск г.;Петухова ул., д. 73
Новосибирск г.;Красный пр-кт., д. 101
Новосибирск г.;Станиславского ул., д. 17
Новосибирск г.;Фрунзе ул., д. 238
Новосибирск г.;Богдана Хмельницкого ул., д. 4
Обь г.;ЖКО Аэропорта ул., восточнее дома №8
Омск г.;10 лет Октября ул., д. 175/1
Омск г.;4-я Челюскинцев ул., д. 119
Омск г.;70 лет Октября ул., д. 12
Омск г.;Бетховена ул., д. 33/1
Омск г.;Гуртьева ул., д. 25
Омск г.;Заозерная ул., д. 9Б
Омск г.;Кирова ул., д. 9
Омск г.;Карла Маркса пр-кт., д. 29А
Омск г.;Красный Путь ул., д. 67
Омск г.;Лобкова ул., д. 3
Омск г.;Мира пр-кт., д. 20 корп. 1
Омск г.;Мира пр-кт., д. 60 корп. 1
Омск г.;Рождественского ул., д. 6
Омск г.;Сибирский пр-кт., д. 7
Омск г.;Богдана Хмельницкого ул., д. 212
Кемерово г.;Кузнецкий пр-кт., д. 33Б
Кемерово г.;Ленина пр-кт., д. 1
Кемерово г.;Ленина пр-кт., д. 114
Кемерово г.;Ленина пр-кт., д. 35
Кемерово г.;Леонова ул., д. 9
Кемерово г.;Октябрьский пр-кт., д. 34
Кемерово г.;пересечение  Химиков и  Ленинградский пр-кта, 0
Кемерово г.;Шахтеров пр-кт., д. 49
Красноярск г.;60 лет образования СССР пр-кт., д. 7В/5
Красноярск г.;60 лет Октября ул., д. 45
Красноярск г.;9 мая ул., д. 77
Красноярск г.;Амурская ул., д. 30А
Красноярск г.;Аэровокзальная ул., д. 17
Красноярск г.;им Говорова ул., д. 57
Красноярск г.;Карла Маркса ул., д. 129
Красноярск г.;Карла Маркса ул., д. 48
Красноярск г.;им газеты Красноярский Рабочий пр-кт., д. 27 стр. 78
Красноярск г.;им газеты Красноярский Рабочий пр-кт., д. 20
Красноярск г.;им газеты Красноярский Рабочий пр-кт., д. 95
Красноярск г.;Металлургов пр-кт., д. 53
Павловск с.;Пожогина пер., д. 11
Сосновоборск г.;Ленинского Комсомола ул., д. 4
Томск г.;Иркутский тракт., д. 61А
Томск г.;Иркутский тракт., д. 116Г
Томск г.;Комсомольский пр-кт., д. 53
Томск г.;Сергея Лазо ул., д. 7А
Томск г.;Ленина пр-кт., д. 163А
Томск г.;Мира пр-кт., д. 36
Томск г.;Нахимова ул., д. 15А
Томск г.;Пушкина ул., д. 65/2
Томск г.;Учебная ул., д. 48Д
Топки г.;Горная ул., д. 2А
Красноярск г.;Академика Павлова ул., д. 46
Красноярск г.;Тельмана ул., д. 30Г
Новоалтайск г.;Гагарина ул., д. 2
Новоалтайск г.;Октябрьская ул., д. 15
Барнаул г.;Власихинская ул., д. 67
Барнаул г.;Павловский тракт., д. 251В
Новосибирск г.;Бориса Богаткова ул., д. 248/1
Новосибирск г.;Ватутина ул., д. 107
Новосибирск г.;Ватутина ул., д. 29
Новосибирск г.;им. Карла Маркса пл., д. 3
Новосибирск г.;Вокзальная магистраль ул., д. 2
Новосибирск г.;Выборная ул., д. 125/1
Новосибирск г.;Энергетиков проезд., д. 8
Новосибирск г.;Громова ул., д. 7
Новосибирск г.;Дзержинского пр-кт., д. 18
Новосибирск г.;Дзержинского пр-кт., д.61
Новосибирск г.;Ильича ул., д. 6А
Новосибирск г.;Кирова ул., д. 113В
Новосибирск г.;им. Карла Маркса пл., д. 3
Новосибирск г.;Карла Маркса пр-кт., д. 37/2
Новосибирск г.;Красный пр-кт., д. 188
Новосибирск г.;Красный пр-кт., д. 2/1
Новосибирск г.;Красный пр-кт., д. 25
Новосибирск г.;Курчатова ул., д. 1
Барнаул г.;Строителей пр-кт., д. 18
Барнаул г.;Чкалова ул., д. 62А
Березовский г.;Ленина ул., д. 9
Кемерово г.;Молодежный пр-кт., д. 2
Москва г.;Щукинская ул., д. 42
Москва г.;Энтузиастов ш., д. 12 корп. 2
Москва г.;Брянская ул., д. 2
Москва г.;Бутырская ул., д. 2/18
Москва г.;Большая Черёмушкинская ул., д. 1
Москва г.;Вавилова ул., д. 3
Москва г.;Веневская ул., д. 6
Москва г.;Профсоюзная ул., д. 129А
